steam_id,app_id,playtime_forever
76561198903685596,22380,212
76561198903685596,236390,377
76561198903685596,262410,1
76561198903685596,108600,231
76561198903685596,291480,19
76561198903685596,227940,41
76561198903685596,346330,10
76561198903685596,350080,156
76561198903685596,355840,111
76561198903685596,391460,2
76561198903685596,394360,5248
76561198903685596,397900,33
76561198903685596,225540,404
76561198903685596,359550,4794
76561198903685596,444090,108
76561198903685596,550900,2
76561198903685596,555570,35
76561198903685596,8500,1
76561198903685596,621060,1688
76561198903685596,386180,73
76561198903685596,674940,486
76561198903685596,304930,3915
76561198903685596,677620,12
76561198903685596,377160,4542
76561198903685596,698780,25
76561198903685596,700330,161
76561198903685596,466240,11
76561198903685596,738060,25
76561198903685596,784950,5
76561198903685596,433850,9
76561198903685596,544920,5
76561198903685596,871720,6
76561198903685596,737800,179
76561198903685596,714010,14
76561198903685596,730,19053
76561198903685596,275390,3
76561198903685596,220200,6613
76561198903685596,203770,1
76561198903685596,1408720,20
76561198903685596,578080,568
76561198903685596,1677740,320
76561198938773179,550,93
76561198938773179,730,9586
76561198938773179,387990,1389
76561198938773179,588430,17
76561198938773179,304930,365
76561198938773179,466240,32
76561198938773179,965200,1735
76561198938773179,1088150,7
76561198938773179,368230,3
76561198938773179,1977530,92
76561199019291967,550,108
76561199019291967,242760,351
76561199019291967,227300,80
76561199019291967,730,67051
76561199019291967,397900,268
76561199019291967,470220,100
76561199019291967,559650,54
76561199019291967,460920,75
76561199019291967,304930,17
76561199019291967,700330,122
76561199019291967,466240,2435
76561199019291967,945360,1262
76561199019291967,816020,953
76561199019291967,1313860,8973
76561199019291967,1506830,33556
76561199019291967,1782210,315
76561199019291967,1817070,950
76561199019291967,1818750,54
76561199019291967,578080,35
76561199019291967,1677740,95
76561199019291967,1811260,2727
76561199019291967,346110,430
76561199019291967,1938090,172
76561199067862033,242760,843
76561199067862033,271590,1788
76561199067862033,291480,1
76561199067862033,730,111731
76561199067862033,381210,54518
76561199067862033,389570,36
76561199067862033,438100,105
76561199067862033,466910,18
76561199067862033,471710,92
76561199067862033,304930,30
76561199067862033,466240,237
76561199067862033,863550,128
76561199067862033,871720,22
76561199067862033,883080,37
76561199067862033,945360,667
76561199067862033,1097150,3782
76561199067862033,1172470,33
76561199067862033,1184160,2
76561199067862033,1088150,402
76561199067862033,1590320,7
76561199067862033,1782210,59
76561199067862033,1811260,5666
76561199067862033,578080,435
76561199067862033,1677740,1354
76561199067862033,1938090,2411
76561199152296737,242760,1527
76561199152296737,730,38071
76561199152296737,471710,935
76561199152296737,466240,425
76561199152296737,871720,565
76561199152296737,1172470,63
76561199152296737,1088150,23
76561199152296737,1590320,214
76561199152296737,1782210,128
76561199152296737,578080,318
76561199152296737,1677740,1564
76561199152296737,1977530,1
76561199152296737,1721470,48
76561199152296737,1938090,1
76561199199379756,271590,75
76561199199379756,730,54411
76561199199379756,386360,1843
76561199199379756,414700,96
76561199199379756,648800,1867
76561199199379756,304930,65
76561199199379756,739630,118
76561199199379756,747360,153
76561199199379756,578080,70
76561199199379756,1599340,186
76561199225508683,10,13439
76561199225508683,550,312
76561199225508683,251570,73
76561199225508683,273110,187
76561199225508683,730,37997
76561199225508683,291550,343
76561199225508683,397900,5
76561199225508683,470220,73
76561199225508683,438740,191
76561199225508683,304930,113
76561199225508683,466240,2754
76561199225508683,813820,88
76561199225508683,945360,2574
76561199225508683,431240,70
76561199225508683,1408720,5
76561199225508683,1088150,199
76561199225508683,1474700,1
76561199225508683,1782210,104
76561199225508683,1850740,14
76561199225508683,578080,4
76561199225508683,1677740,1884
76561199225508683,1818750,39
76561199225508683,1938090,1
76561199247746361,291480,26
76561199247746361,730,9586
76561199247746361,1677740,73
76561198246545242,4000,482
76561198246545242,201700,11
76561198246545242,252950,23616
76561198246545242,271590,7093
76561198246545242,302830,6
76561198246545242,304930,2093
76561198246545242,277950,58
76561198246545242,730,89344
76561198246545242,335240,2071
76561198246545242,252490,566
76561198246545242,381210,578
76561198246545242,382120,58
76561198246545242,291550,1059
76561198246545242,389570,1385
76561198246545242,299360,2087
76561198246545242,427730,80
76561198246545242,424280,90
76561198246545242,433850,2561
76561198246545242,444090,501
76561198246545242,444640,9
76561198246545242,466910,182
76561198246545242,513650,12
76561198246545242,578080,2446
76561198246545242,666220,82
76561198246545242,1097150,159
76561198246545242,1782210,857
76561198246545242,1677740,290
76561197961467435,10,289
76561197961467435,240,104
76561197961467435,310560,31
